Loading xml library ...
 === processing element ContentDescription: new_concept,_COzgIOsLEemY--CKQaYIJA
 === processing element ContentPackage: project_lifecycle
 === processing element Concept: project_phases_overview
 === processing element ContentDescription: new_concept,_hoRA0OvQEemsOYBuiM_KCA
 === processing element SupportingMaterial: project_initiating_phase
 === processing element ContentDescription: new_supporting_material,_PrD30PT5Eem0hvZFEwwVsg
 === processing element SupportingMaterial: project_planning_phase
 === processing element ContentDescription: new_supporting_material,__LTeAPU-Eem0hvZFEwwVsg
 === processing element SupportingMaterial: project_monitor_and_control_phases
 === processing element ContentDescription: new_supporting_material,_Yfr9wPZ7EemWSOX7emG6zw
 === processing element SupportingMaterial: project_executing_phase
 === processing element ContentDescription: new_supporting_material,__0ZekPcQEemALp89eHnu0w
 === processing element SupportingMaterial: project_closing_phase
 === processing element ContentDescription: new_supporting_material,_CdKCMPdhEemALp89eHnu0w
 === processing element Concept: phase_gates__approvals
 === processing element ContentDescription: phase_gates__approvals,_JIs0MBOcEeq1sp9_G4QTuQ
 === processing element ContentPackage: project_management
 === processing element SupportingMaterial: Project_organisational_strategy
 === processing element ContentDescription: new_supporting_material,_a_HEwOXsEemqiLXgX7zFIg
 === processing element Concept: project_documentation
 === processing element ContentDescription: new_concept,_GNiugOt3EemEHK-rYivsHg
 === processing element Concept: project_management_competences
 === processing element ContentDescription: new_concept,_kuRaAOuEEemEHK-rYivsHg
 === processing element Concept: project_structure
 === processing element ContentDescription: new_concept,_O0GToOuCEemEHK-rYivsHg
 === processing element Concept: projects_vs_operations
 === processing element ContentDescription: new_concept,_1BLbEOt0EemEHK-rYivsHg
 === processing element Concept: reasons_for_realising_projects
 === processing element ContentDescription: relevance_of_projects_in_organisations,_a68rUOtvEemEHK-rYivsHg
 === processing element Concept: project_results
 === processing element ContentDescription: new_concept,_QZ7HIOtwEemEHK-rYivsHg
 === processing element Concept: what_is_project_management
 === processing element Concept: what_is_a_project_support_office
 === processing element ContentDescription: new_concept,_GSBlcBCQEeq5fZ74P6RAQg
 === processing element ContentPackage: project_organisation_and_roles
 === processing element Concept: project_organisation_layers
 === processing element ContentDescription: new_concept,_R0t5EOuPEemEHK-rYivsHg
 === processing element Concept: project_stakeholders
 === processing element ContentDescription: new_concept,_SkGkEOuOEemEHK-rYivsHg
 === processing element Concept: project_support_team_pst
 === processing element ContentDescription: new_concept,_k4s_AOudEemEHK-rYivsHg
 === processing element Concept: solution_provider_sp
 === processing element ContentDescription: new_concept,_wFBqUOuZEemEHK-rYivsHg
 === processing element Concept: project_core_team_pct
 === processing element ContentDescription: new_concept,_W7aPoOubEemEHK-rYivsHg
 === processing element Concept: project_management_assistant_pma
 === processing element ContentDescription: new_concept,_N1BoAOudEemEHK-rYivsHg
 === processing element Concept: project_manager_pm
 === processing element ContentDescription: new_concept,_aQOEwOuaEemEHK-rYivsHg
 === processing element Concept: project_owner_po
 === processing element ContentDescription: new_concept,_eiWdwOuZEemEHK-rYivsHg
 === processing element Concept: project_steering_committee_psc
 === processing element ContentDescription: new_concept,_J9MXoOuZEemEHK-rYivsHg
 === processing element Concept: project_support_office_pso
 === processing element ContentDescription: new_concept,_G-1hMOt6EemEHK-rYivsHg
 === processing element Concept: appropriate_governance_body_agb
 === processing element ContentDescription: new_concept,_ceWBAOvNEemsOYBuiM_KCA
 === processing element Concept: business_implementation_group_big
 === processing element ContentDescription: new_concept,_CPRXwOubEemEHK-rYivsHg
 === processing element Concept: business_manager_bm
 === processing element ContentDescription: new_concept,_H8Dw4OuaEemEHK-rYivsHg
 === processing element Concept: contractors_project_manager_cpm
 === processing element ContentDescription: new_concept,_sXDcYOucEemEHK-rYivsHg
 === processing element ContentPackage: release_information
 === processing element Concept: contributions_and_acknowledgements
 === processing element ContentDescription: new_concept,_pliOkOxuEemPtZ5AiUOtSg
 === processing element Concept: licenses
 === processing element ContentDescription: new_concept,_spigMOxwEemPtZ5AiUOtSg
 === processing element Concept: licensing_and_reuse
 === processing element ContentDescription: new_concept,_JhoiUOxwEemPtZ5AiUOtSg
 === processing element ContentPackage: supporting_materials
 === processing element SupportingMaterial: project_management_tools_and_techniques
 === processing element ContentDescription: new_supporting_material,_tAedsOxpEemPtZ5AiUOtSg
 === processing element SupportingMaterial: useful_online_resources
 === processing element ContentDescription: new_supporting_material,_COrrYOxrEemPtZ5AiUOtSg
 === processing element TermDefinition: pm2_glossary
 === processing element ContentDescription: new_term_definition,_qawRQOxsEemPtZ5AiUOtSg
 === processing element SupportingMaterial: project_logs
 === processing element ContentDescription: project_management_plans_and_logs,_uxuTMPxfEemq5JKJlHGkCw
 === processing element ContentPackage: introduction_to_the_pm2_guide
 === processing element Concept: introduction_to_the_pm2_guide_1
 === processing element ContentDescription: introduction_to_pm2_guide,_RIPcIAshEeq8puqX6Knz1Q
 === processing element ContentPackage: ethics__conduct
 === processing element Concept: code_of_professional_conduct
 === processing element ContentDescription: new_concept,_NBNKwGV1EeqXU8ldt6imrg
 === processing element Concept: personal_and_professional_virtues
 === processing element ContentDescription: new_concept,_ECefwGV2EeqXU8ldt6imrg
 === processing element Role: business_manager_bm
 === processing element RoleDescription: business_manager_bm,_ZjhXsFNIEempSa88U3VI0g
 === processing element Task: create_the_business_case
 === processing element Artifact: business_case
 === processing element TermDefinition: open_pm2_glossary
 === processing element ContentDescription: open_pm2_glossary,_pzoooIZrEemNS-DED0vAjg
 === processing element Concept: open_pm2_paradigm
 === processing element ContentDescription: open_pm2_paradigm,_RrRlcIl0EemEe8L3FKFDaw
 === processing element Artifact: project_initiation_request
 === processing element Artifact: project_charter
 === processing element Task: create_the_project_charter
 === processing element Task: create_the_project_initiation_request
 === processing element Role: project_manager_pm
 === processing element RoleDescription: project_manager_pm,_QyhO0IrwEem8zIo4sBy82g
 === processing element Role: project_core_team_pct
 === processing element RoleDescription: project_core_team_pct,_iP2BUIrwEem8zIo4sBy82g
 === processing element Role: appropriate_governance_body_agb
 === processing element RoleDescription: appropriate_governance_body,_m3AZsIrwEem8zIo4sBy82g
 === processing element Role: business_implemention_group_big
 === processing element RoleDescription: business_implemention_group_big,__nqP4IrwEem8zIo4sBy82g
 === processing element Role: solution_provider_sp
 === processing element Role: project_owner_po
 === processing element RoleDescription: project_owner,_K1k50IrxEem8zIo4sBy82g
 === processing element Role: project_steering_committee_psc
 === processing element RoleDescription: project_steering_committee_psc,_Q6vhQIrxEem8zIo4sBy82g
 === processing element Task: create_the_project_handbook
 === processing element Task: create_the_project_work_plan
 === processing element Role: other_project_stakeholders
 === processing element RoleDescription: other_project_stakeholders,_1VIzAIr3Eem8zIo4sBy82g
 === processing element Role: project_support_office_pso
 === processing element RoleDescription: project_support_office,_kfYhYIr4Eem8zIo4sBy82g
 === processing element Task: create_project_stakeholder_matrix
 === processing element Artifact: minutes_of_planning_kick-off_meeting
 === processing element Artifact: project_stakeholder_matrix
 === processing element Artifact: project_handbook
 === processing element ArtifactDescription: project_handbook,_O44nIIsFEemPd45ge65XKw
 === processing element Artifact: project_work_plan
 === processing element Artifact: project_end_report
 === processing element ArtifactDescription: the_project_end_report,_7yfZgIsOEemPd45ge65XKw
 === processing element Role: project_initiator_pi
 === processing element RoleDescription: new_role,_9KEhYIsXEemPd45ge65XKw
 === processing element Task: create_the_business_implementation_plan
 === processing element Task: create_the_outsourcing_plan
 === processing element Task: create_the_deliverables_acceptance_plan
 === processing element Task: create_the_transition_plan
 === processing element Artifact: deliverables_acceptance_management_plan
 === processing element Artifact: business_implementation_plan
 === processing element Artifact: transition_plan
 === processing element Task: conduct_the_kick-off_meeting
 === processing element Task: conduct_meetings
 === processing element Task: ensure_deliverables'_quality
 === processing element Task: create_project_reports
 === processing element Task: distribute_the_information
 === processing element Task: ensure_deliverables'_acceptance
 === processing element Artifact: deliverables_acceptance_note
 === processing element Artifact: outsourcing_plan
 === processing element Task: secure_deliverables_acceptance_note
 === processing element Task: create_management_plans
 === processing element Practice: pm2__agile_management
 === processing element Practice: programme_management
 === processing element PracticeDescription: open_pm2_programme_management,__cw6cIyQEem6hcBbT7yl0w
 === processing element Practice: project portfolio_management
 === processing element PracticeDescription: pm2__portfolio_management,_DK0gkIyREem6hcBbT7yl0w
 === processing element Task: create_quality_review_reports
 === processing element Task: create_audit_reports
 === processing element Role: project_quality_assurance_pqa
 === processing element RoleDescription: project_quality_assurance_(pqa),_mMGUMIygEemUMfBd9Ww1zA
 === processing element TermDefinition: project_management
 === processing element ContentDescription: new_term_definition,_PfdXYI1UEemFdbh4QXpZVg
 === processing element TermDefinition: project_support_office
 === processing element ContentDescription: new_term_definition,_bKz3gI2REemwht2DQP2Tzw
 === processing element TermDefinition: programme_management
 === processing element ContentDescription: new_term_definition,_3Bm_QI2REemwht2DQP2Tzw
 === processing element TermDefinition: project_portfolio_management
 === processing element ContentDescription: new_term_definition,_UbLhUI2SEemwht2DQP2Tzw
 === processing element Concept: project_layers
 === processing element ContentDescription: project_layers,_yUOhgI4-Eem3auga1hbGLQ
 === processing element SupportingMaterial: project_stakeholders__roles
 === processing element ContentDescription: new_supporting_material,_URLcQI5MEem3auga1hbGLQ
 === processing element Role: contractors_project_manager_cpm
 === processing element RoleDescription: new_role,_h_9wAKQPEemEWZuoOiuhCg
 === processing element Role: project_manager_assistant_pma
 === processing element RoleDescription: new_role,_nEAcMKQQEemEWZuoOiuhCg
 === processing element Concept: open_pm2_project_at_a_glance
 === processing element ContentDescription: open_pm2_project_at_a_glance,_eVupYKRQEem2GLMbyYckrg
 === processing element TermDefinition: operations
 === processing element ContentDescription: new_term_definition,_09x6UKZ_Eem6s7VmR70Rqw
 === processing element TermDefinition: programme
 === processing element ContentDescription: new_term_definition,_lX1jYKaDEem6s7VmR70Rqw
 === processing element TermDefinition: project_portfolio
 === processing element ContentDescription: new_term_definition,_i2Fi4KaEEem6s7VmR70Rqw
 === processing element Concept: the_project_admnistrative_closure
 === processing element ContentDescription: new_concept,_fkpDUKzyEemvwrP7A8OV1Q
 === processing element Concept: project_administrative_closure
 === processing element ContentDescription: project_administrative_closure,_VFiVAK2TEemSD-A1dmvfxg
 === processing element Concept: project_end_report
 === processing element ContentDescription: new_concept,_v3HPMK2VEemSD-A1dmvfxg
 === processing element Artifact: requirements_management_plan
 === processing element Artifact: project_change_management_plan
 === processing element Artifact: risk_management_plan
 === processing element Artifact: quality_management_plan
 === processing element Artifact: issue_management_plan
 === processing element Artifact: communications_management_plan
 === processing element Artifact: agenda_of_executing_phase_kick-off_meeting
 === processing element Artifact: minutes_of_executing_kick-off_meeting
 === processing element Artifact: signed_off_work_assignments
 === processing element Artifact: project_audit_report
 === processing element Artifact: project_logs
 === processing element Artifact: quality_review_reports
 === processing element Artifact: contractor_status_report
 === processing element Artifact: project_progress_reports
 === processing element Artifact: project_status_reports
 === processing element Artifact: custom_or_ad_hoc_reports
 === processing element Artifact: agenda_of_project_end_review_meeting
 === processing element Artifact: minutes_of_project_end_review_meeting
 === processing element Artifact: project_acceptance_note_if required
 === processing element Artifact: project_archive_updated
 === processing element Artifact: agenda_of_planning_kick-off_meeting
 === processing element Artifact: risk_log
 === processing element Artifact: issue_log
 === processing element Artifact: decision_log
 === processing element Artifact: change_log
 === processing element Artifact: project_work_plan_updated
 === processing element Artifact: phase-exit_review_checklists
 === processing element Artifact: quality_review_checklists
 === processing element Artifact: deliverables_acceptance_checklist
 === processing element Artifact: business_implementation_checklist
 === processing element Artifact: stakeholders_checklist
 === processing element Artifact: transition_checklist
 === processing element SupportingMaterial: opm2_project_planning_phase
 === processing element ContentDescription: new_supporting_material,_uV4e4K-3EemRF4v6c146Vw
 === processing element Role: project_support_team
 === processing element Role: any_project_stakeholder
 === processing element Deliverable: project_deliverables
 === processing element Artifact: organizational_procurement_procedures
 === processing element SupportingMaterial: open_pm2_copyright
 === processing element ContentDescription: new_supporting_material,_Qq3UgLVqEemw_5gOSN9e0Q
 === processing element Artifact: project_work_plan_baselined
 === processing element Artifact: project_work_plan_tracked
 === processing element Artifact: quality_checklist
 === processing element Artifact: project_reports
 === processing element Artifact: minutes_of_meeting_mom
 === processing element Artifact: project_logs_updated
 === processing element Artifact: stakeholder_matrix
 === processing element Artifact: stakeholder_matrix_updated
 === processing element Artifact: requirements_document
 === processing element Artifact: change_request_form
 === processing element Artifact: change_log_updated
 === processing element Artifact: risk_log_updated_
 === processing element Artifact: issue_log_updated
 === processing element Artifact: decision_log_updated
 === processing element Artifact: audit_reports
 === processing element Artifact: outsourcing_plan_if_applicable
 === processing element Artifact: signed_contracts
 === processing element Artifact: signed_purchase_orders
 === processing element Artifact: signed_timesheets
 === processing element SupportingMaterial: open_pm2_glossary
 === processing element ContentDescription: new_supporting_material,_nU6-YLbaEemKorkmxcjSGg
 === processing element SupportingMaterial: open_pm2_mindset_project_phases__key_outputs
 === processing element ContentDescription: new_supporting_material,_zEGNkLciEemKorkmxcjSGg
 === processing element SupportingMaterial: open_pm2_mindsets_project_phases__key_outputs
 === processing element SupportingMaterial: open_pm2_genesis__purpose
 === processing element ContentDescription: new_supporting_material,_RzkiELdkEemVS91rCYJFBA
 === processing element Concept: means_for_strategic_goal_achievement
 === processing element ContentDescription: new_concept,_C9BYMLeeEemVS91rCYJFBA
 === processing element Artifact: all_project_plans
 === processing element Artifact: project_checklists
 === processing element Artifact: artifact_for_information_distribution_
 === processing element Artifact: all_other_project_plans_and_documents
 === processing element Artifact: lessons_learned
 === processing element Artifact: post-project_recommandations
 === processing element Artifact: problem_need_or_business_opportunity
 === processing element Artifact: change_log_setup
 === processing element Artifact: quality_review_checklist
 === processing element SupportingMaterial: project_management_plans__logs
 === processing element ContentDescription: new_supporting_material,_CtCQALiREemyQ55KauwYTg
 === processing element SupportingMaterial: project_management_tools__techniques
 === processing element ContentDescription: new_supporting_material,_QRyuILiUEemyQ55KauwYTg
 === processing element SupportingMaterial: open_pm2_extensions
 === processing element ContentDescription: new_supporting_material,_oY-UELiVEemyQ55KauwYTg
 === processing element SupportingMaterial: rasci_matrix
 === processing element ContentDescription: new_supporting_material,_oLYcoLiYEemyQ55KauwYTg
 === processing element SupportingMaterial: open_pm2_artifacts_landscape
 === processing element ContentDescription: new_supporting_material,_Yj3DQLiaEemyQ55KauwYTg
 === processing element SupportingMaterial: overview_of_open_pm2_activities__artifacts
 === processing element ContentDescription: new_supporting_material,_ERhgkLicEemyQ55KauwYTg
 === processing element SupportingMaterial: useful_online_resources_
 === processing element ContentDescription: new_supporting_material,_0gQ8YLidEemyQ55KauwYTg
 === processing element SupportingMaterial: ethics__conduct
 === processing element ContentDescription: new_supporting_material,_2vjB8LieEemyQ55KauwYTg
 === processing element SupportingMaterial: project_planning_phase
 === processing element ContentDescription: new_supporting_material,_aI3tsLikEemyQ55KauwYTg
 === processing element SupportingMaterial: opm2_copyright
 === processing element ContentDescription: new_supporting_material,_kCMrAO6hEem-XN6atguagA
 === processing element Artifact: transition_plan_setup
 === processing element Artifact: transition_checklist_setup
 === processing element Artifact: deliverables_acceptance_checklist_setup
 === processing element Artifact: business_implementation_checklist_setup
 === processing element Artifact: any_requirement_documents
 === processing element Artifact: all_project_plans_and_logs
 === processing element Artifact: outputs_of_the_monitor_project_performance_activity
 === processing element Artifact: information_distribution_
 === processing element Artifact: lessons_learned_1
 === processing element Artifact: post-project_recommendations
 === processing element Artifact: relevant_logs
 === processing element Artifact: minutes_of_meetings_moms
 === processing element Artifact: quality_checklists
 === processing element Artifact: project_logs_risk_log_issue_log_decision_log_project_change_log
 === processing element Artifact: input_from_the_contractors_project_manager_cpm_if_applicable
 === processing element Artifact: change_log_and_other_relevant_project_logs
 === processing element Artifact: outsourcing_plan_if_applicable_1
 === processing element Artifact: project_stakeholder_matrix_updated
 === processing element Artifact: risk_management_process
 === processing element Artifact: any_other_records__reports_planned_for_this_activity
 === processing element Artifact: any_acceptance_documents_subject_to_contractual_agreements
 === processing element Artifact: status_and_progress_report_s
 === processing element Artifact: signed_contract_s
 === processing element Artifact: signed_purchase_order_s
 === processing element Artifact: signed_timesheet_s
 === processing element Task: create_the_issue_log
 === processing element Task: create_the_decision_log
 === processing element Task: create_the_issue_management_plan
 === processing element Task: create_the_project_change_management_plan
 === processing element Concept: introduction_to_the_pm2_guide
 === processing element ContentDescription: introduction_to_the_pm2_guide,_pzbE0AsTEeq8puqX6Knz1Q
 === processing element Artifact: project-end_review_minutes_of_meeting
 === processing element Task: manage_the_project_change
 === processing element Task: monitor_the_project_performance
 === processing element ProcessComponent: project_lifecycle
 === processing element DeliveryProcess: project_lifecycle
 === processing element DeliveryProcessDescription: OPM2 Project Lifecycle,_b38ycYuxEemyBLjcQ79CyA
